non coding transcript
splice donor
splice acceptor
downstream gene
intron
splice region
stop gained
upstream gene
5 prime UTR
NMD transcript
frameshift
splice donor region
inframe deletion
stop retained
missense
3 prime UTR
splice donor 5th base
mature miRNA
start lost
inframe insertion
splice polypyrimidine tract
protein altering
synonymous
coding sequence
non coding transcript exon
stop lost
start retained
transcript ablation
incomplete terminal codon
